scientific_name,iucn_status
Acanthiza chrysorrhoa,LC
Acanthiza lineata,LC
Acanthiza nana,LC
Acanthiza pusilla,LC
Acanthiza reguloides,LC
Acanthiza sp.,
Acanthorhynchus tenuirostris,LC
Acridotheres tristis,LC
Aegotheles cristatus,LC
Alisterus scapularis,LC
Amphibolurus muricatus,LC
Antechinus agilis,LC
Antechinus sp.,
Anthochaera carunculata,LC
Ardea alba,LC
Axis sp.,
Cacatua galerita,LC
Cacatua sanguinea,LC
Cacatua tenuirostris,LC
Cacomantis flabelliformis,LC
Caligavis chrysops,LC
Callocephalon fimbriatum,VU
Calyptorhynchus funereus,
Canis familiaris,
Capra hircus,NA
Carduelis carduelis,LC
Cervus unicolor,
Chenonetta jubata,LC
Chrysococcyx basalis,
Chrysococcyx lucidus,
Climacteris picumnus,LC
Colluricincla harmonica,LC
Coracina novaehollandiae,LC
Corcorax melanorhamphos,LC
Cormobates leucophaea,LC
Corvus coronoides,LC
Corvus mellori,LC
Corvus sp.,
Cracticus tibicen,
Cracticus torquatus,LC
Dacelo novaeguineae,LC
Dama dama,LC
Dasyurid sp.,
Dicaeum hirundinaceum,LC
Egernia saxatilis intermedia,
Eolophus roseicapilla,LC
Eopsaltria australis,LC
Felis catus,
Fulica atra,NT
Gallinula tenebrosa,LC
Geopelia placida,LC
Glossopsitta concinna,LC
Grallina cyanoleuca,LC
Gymnorhina tibicen,LC
Hirundo neoxena,LC
Hypotaenidia philippensis,LC
Macropodidae spp.,
Macropus giganteus,LC
Malurus cyaneus,LC
Manorina melanocephala,LC
Melithreptus brevirostris,LC
Melithreptus lunatus,LC
Menura novaehollandiae,LC
Microeca fascinans,LC
Neochmia temporalis,LC
Nesoptilotis leucotis,LC
Ninox boobook,LC
Ninox strenua,LC
Ocyphaps lophotes,LC
Oryctolagus cuniculus,NT
Pachycephala pectoralis,LC
Pachycephala rufiventris,LC
Pardalotus punctatus,LC
Pardalotus striatus,LC
Petroica boodang,LC
Petroica phoenicea,LC
Phalacrocorax carbo,LC
Phaps chalcoptera,LC
Phascogale tapoatafa,NT
Phylidonyris novaehollandiae,LC
Platycercus elegans,LC
Platycercus eximius,LC
Podargus strigoides,LC
Porphyrio melanotus,
Psephotus haematonotus,LC
Pseudocheirus peregrinus,LC
Rattus fuscipes,LC
Rattus rattus,LC
Rhipidura albiscapa,LC
Rhipidura leucophrys,LC
Rodent sp,
Sericornis frontalis,LC
Smicrornis brevirostris,LC
Sminthopsis murina,LC
Sminthopsis murina murina,
Strepera graculina,LC
Strepera sp.,
Strepera versicolor,LC
Streptopelia chinensis,
Tachyglossus aculeatus,LC
Tiliqua nigrolutea,LC
Todiramphus sanctus,LC
Trichoglossus moluccanus,LC
Trichosurus vulpecula,LC
Turdus merula,LC
Turnix varius,LC
Vanellus miles,LC
Vombatus ursinus,LC
Vulpes vulpes,LC
Wallabia bicolor,LC
Zanda funerea,LC
Zoothera lunulata,LC
Zosterops lateralis,LC
